	Index	_1	x	y	mass	frame	particle
48	1789	28212	1477.4453538757825	811.0043331728455	917.7260223984086	1789	2966.0
49	1790	28213	1477.370253164557	809.8549578059071	920.0150394720874	1790	2966.0
50	1791	28214	1477.6723786209714	809.0163198694411	1073.176052555491	1791	2966.0
51	1792	28215	1477.8374870197301	807.9646936656283	879.3776908209688	1792	2966.0
52	1793	28216	1478.1815789473685	807.771052631579	893.3994147926976	1793	2966.0
53	1794	28217	1477.7850229240958	806.9505858380029	935.5136257446285	1794	2966.0
54	1795	28218	1476.7099282296651	805.8062200956938	852.5457322796957	1795	2966.0
55	1796	28219	1477.1269146608315	804.8687089715537	854.4559673554259	1796	2966.0
56	1797	28220	1477.7217920353985	803.9701327433627	841.139082049193	1797	2966.0
57	1798	28221	1478.417382999045	803.0401146131805	943.8537841596941	1798	2966.0
58	1799	28222	1478.2894280762564	801.8561525129982	1009.2884398607359	1799	2966.0
59	1800	28223	1477.513431542461	800.852253032929	972.957608816802	1800	2966.0
60	1801	28224	1476.8481464939707	799.2572577043322	1023.0193008205534	1801	2966.0
61	1802	28225	1477.1351098644227	798.0345956054231	1030.854572448252	1802	2966.0
62	1803	28226	1477.1400102197242	796.8870720490547	927.5149028873474	1803	2966.0
63	1804	28227	1476.8491508491506	796.1643356643358	929.1651769866718	1804	2966.0
64	1805	28228	1477.4930291508238	795.516687790452	1092.8911798405452	1805	2966.0
65	1806	28229	1477.8106923751095	795.8685363716038	1068.618016529485	1806	2966.0
66	1807	28230	1477.9531172069824	795.823940149626	977.6714194411244	1807	2966.0
67	1808	28231	1477.1679458239275	796.1246049661398	1067.6940619582404	1808	2966.0
68	1809	28232	1476.7615317667535	796.7006092254134	1109.7571515625568	1809	2966.0
69	1810	28233	1476.7125803489441	797.0165289256198	1014.8276368442492	1810	2966.0
70	1811	28234	1476.9307105108633	797.6288901937756	847.5838164944922	1811	2966.0
71	1812	28235	1477.4871508379888	798.2687150837987	872.7706794920911	1812	2966.0
72	1813	28236	1477.560080106809	797.9746328437918	733.5132923744301	1813	2966.0
73	1814	28237	1478.1662908680944	798.3731679819616	878.6334499675577	1814	2966.0
74	1815	28238	1478.1435546875	799.09716796875	997.0233452112705	1815	2966.0
75	1816	28239	1477.8478860294117	799.4774816176471	1101.6999002156083	1816	2966.0
76	1817	28240	1477.591836734694	800.2341269841271	900.6900664792934	1817	2966.0
77	1818	28241	1478.3616480162766	800.3804679552389	1006.673333781133	1818	2966.0
78	1819	28242	1478.0353324035334	799.3328684332869	1051.545931346107	1819	2966.0
79	1820	28243	1477.8515046867292	798.997533300444	991.8455664877961	1820	2966.0
80	1821	28244	1476.7824097610574	798.9618708693441	967.5398271227604	1821	2966.0
81	1822	28245	1476.7468413664014	799.1628451099672	1035.5939659771518	1822	2966.0
82	1823	28246	1477.3623711340203	799.3345360824742	967.6960064234539	1823	2966.0
83	1824	28247	1476.8725790010196	799.7196738022426	1018.5566992547767	1824	2966.0
84	1825	28248	1476.7857525441884	799.8221746116765	933.9093616659824	1825	2966.0
85	1826	28249	1476.0640552995392	800.9497695852534	1101.494038978624	1826	2966.0
86	1827	28250	1476.7059134107708	801.7829989440338	991.6955381109177	1827	2966.0
87	1828	28251	1476.3775862068965	801.946551724138	894.780659558974	1828	2966.0
88	1829	28252	1476.5394883203562	802.7447163515018	898.8522932326593	1829	2966.0
89	1830	28253	1476.4970484061396	803.3181818181819	839.9572721332631	1830	2966.0
90	1831	28254	1475.730382293763	803.9869215291751	1031.3204964367774	1831	2966.0
91	1832	28255	1475.8036162732294	805.0200904068307	993.0454644865443	1832	2966.0
92	1833	28256	1475.4226164079826	805.7139689578714	1033.804232716336	1833	2966.0
93	1834	28257	1475.6593462717055	805.317671092952	985.5371038678641	1834	2966.0
94	1835	28258	1475.6668604651165	806.6860465116278	858.933826319858	1835	2966.0
95	1836	28259	1475.8496376811593	806.9465579710146	1057.542862874321	1836	2966.0
96	1837	28260	1476.2168615984406	807.4795321637426	1000.5425342488927	1837	2966.0
